 192.168.0.16 > GET > /home > 200 13.843107ms
 192.168.0.16 > GET > /assets/css/main.css > 304 130.076µs
 192.168.0.16 > GET > /assets/css/fonts/stylesheet.css > 404 192.077µs
 192.168.0.16 > GET > /api/stats > 200 1.044117ms
 192.168.0.16 > GET > /assets/img/checkerboard.jpg > 304 89.916µs
 192.168.0.16 > GET > /api/fetchanime > 200 856.573µs
 192.168.0.16 > GET > /get-messages > 200 2.130122ms
 192.168.0.16 > GET > /assets/favicon.ico > 404 95.547µs
 192.168.0.16 > GET > [/] > [403] [Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/116.0.0.0 Safari/537.36]  1.332237ms code=403, message=Forbidden 0 3232   
 192.168.0.16 > GET > [/home] > [403] [Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/116.0.0.0 Safari/537.36]  159.71µs code=403, message=Forbidden 0 3232   
 192.168.0.16 > GET > [/home] > [403] [Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/116.0.0.0 Safari/537.36]  256.991µs code=403, message=Forbidden 0 3232   
 192.168.0.16 > GET > [/home] > [403] [Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/116.0.0.0 Safari/537.36]  261.51µs code=403, message=Forbidden 0 3232   
 192.168.0.16 > GET > [/] > [200] [Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/116.0.0.0 Safari/537.36]  15.063614ms  0 0   
 192.168.0.16 > GET > [/assets/css/fonts/stylesheet.css] > [404] [Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/116.0.0.0 Safari/537.36]  212.87µs code=404, message=Not Found 0 3223   
 192.168.0.16 > GET > [/api/stats] > [200] [Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/116.0.0.0 Safari/537.36]  336.662µs  0 69   
 192.168.0.16 > GET > [/api/fetchanime] > [200] [Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/116.0.0.0 Safari/537.36]  841.189µs  0 12725   
 192.168.0.16 > GET > [/get-messages] > [200] [Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/116.0.0.0 Safari/537.36]  2.619368ms  0 58891   
 192.168.0.16 > GET > [/sfdafg] > [404] [Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/116.0.0.0 Safari/537.36]  179.739µs code=404, message=Not Found 0 3223   
 192.168.0.16 > GET > [/] > [200] [Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/116.0.0.0 Safari/537.36]  1.408126ms  0 0   
 192.168.0.16 > GET > [/assets/css/fonts/stylesheet.css] > [404] [Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/116.0.0.0 Safari/537.36]  321.576µs code=404, message=Not Found 0 3223   
 192.168.0.16 > GET > [/api/stats] > [200] [Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/116.0.0.0 Safari/537.36]  416.439µs  0 69   
 192.168.0.16 > GET > [/api/fetchanime] > [200] [Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/116.0.0.0 Safari/537.36]  965.129µs  0 12725   
 192.168.0.16 > GET > [/get-messages] > [200] [Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/116.0.0.0 Safari/537.36]  2.154455ms  0 58891   
 192.168.0.16 > GET > [/blog] > [200] [Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/116.0.0.0 Safari/537.36]  2.21886ms  0 0   
 192.168.0.16 > GET > [/assets/css/fonts/stylesheet.css] > [404] [Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/116.0.0.0 Safari/537.36]  566.567µs code=404, message=Not Found 0 3223   
 192.168.0.16 > GET > [/api/stats] > [200] [Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/116.0.0.0 Safari/537.36]  398.382µs  0 69   
 192.168.0.16 > GET > [/blog/1] > [200] [Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/116.0.0.0 Safari/537.36]  289.841µs  0 547   
 192.168.0.16 > GET > [/assets/assets/img/s.gif] > [404] [Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/116.0.0.0 Safari/537.36]  89.596µs code=404, message=Not Found 0 3223   
 192.168.0.16 > GET > [/blog/2] > [200] [Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/116.0.0.0 Safari/537.36]  146.231µs  0 706   
 192.168.0.16 > GET > [/blog/3] > [200] [Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/116.0.0.0 Safari/537.36]  152.334µs  0 460   
 192.168.0.16 > GET > [/blog/4] > [200] [Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/116.0.0.0 Safari/537.36]  157.123µs  0 563   
 192.168.0.16 > GET > [/blog/5] > [200] [Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/116.0.0.0 Safari/537.36]  161.027µs  0 904   
 192.168.0.16 > GET > [/blog/6] > [200] [Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/116.0.0.0 Safari/537.36]  180.686µs  0 711   
 192.168.0.16 > GET > [/blog/7] > [200] [Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/116.0.0.0 Safari/537.36]  431.055µs  0 649   
 192.168.0.16 > GET > [/blog/8] > [200] [Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/116.0.0.0 Safari/537.36]  310.665µs  0 1177   
 192.168.0.16 > GET > [/blog/9] > [200] [Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/116.0.0.0 Safari/537.36]  177.626µs  0 655   
 192.168.0.16 > GET > [/blog/10] > [200] [Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/116.0.0.0 Safari/537.36]  138.087µs  0 605   
 192.168.0.16 > GET > [/blog/11] > [200] [Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/116.0.0.0 Safari/537.36]  210.575µs  0 257   
 192.168.0.16 > GET > [/blog/12] > [200] [Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/116.0.0.0 Safari/537.36]  216.423µs  0 482   
 192.168.0.16 > GET > [/blog/13] > [200] [Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/116.0.0.0 Safari/537.36]  158.903µs  0 588   
 192.168.0.16 > GET > [/blog/14] > [200] [Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/116.0.0.0 Safari/537.36]  216.184µs  0 455   
 192.168.0.16 > GET > [/blog/15] > [200] [Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/116.0.0.0 Safari/537.36]  197.225µs  0 323   
 192.168.0.16 > GET > [/blog/16] > [200] [Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/116.0.0.0 Safari/537.36]  163.142µs  0 435   
 192.168.0.16 > GET > [/blog/17] > [200] [Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/116.0.0.0 Safari/537.36]  206.422µs  0 218   
